works_reference,author_name,title,want_to_read,currently_reading,already_read,rating_average,rating_count,rating_1,rating_2,rating_3,rating_4,rating_5,subjects,description_text,NPS,NPS_rank
/works/OL82563W,J. K. Rowling,Harry Potter and the Philosopher's Stone,9272,833,835,4.288256227758007,562,42,15,47,93,365,"['Ghosts' 'Monsters' 'Vampires' 'Witches'
 'Challenges and Overcoming Obstacles' 'Magic and Supernatural'
 'Cleverness' 'School Life' 'school stories' 'Wizards' 'Magic' 'MAGIA'
 'MAGOS' 'Juvenile fiction' 'Fiction' 'NOVELAS INGLESAS' 'Schools'
 'orphans' 'fantasy fiction' 'England in fiction' 'Witches in fiction'
 'Wizards in fiction' 'Alchemy' 'New York Times bestseller'
 'Juvenile literature' 'Magic in fiction' 'Open Library Staff Picks'
 'Juvenile audience' ""Children's stories"" 'Juvenile works'
 'Schools in fiction' 'Fantasy'
 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)'
 'Harry Potter (Fictitious character)' 'Ficción juvenil' 'Escuelas'
 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)'
 'Translations from English' 'Chinese fiction'
 'Hermione Granger (Fictitious character)' 'Reading Level-Grade 9'
 'Reading Level-Grade 11' 'Reading Level-Grade 10'
 'Reading Level-Grade 12'
 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction'
 ""Children's fiction"" 'Schools, fiction' 'England, fiction'
 'Potter, harry (fictitious character), fiction' 'Wizards, fiction'
 'Magic, fiction' 'Fiction, fantasy, general' 'Large type books' 'Magier'
 'Fabeltiere' 'Lehrling' 'Kinderbuch' 'Stein der Weisen' 'Ungeheuer'
 'Junge' 'English language' 'Translating into Welsh'
 'Modern history to 20th century: c 1700 to c 1900' 'Literary theory'
 'English literature' 'Ron Weasley (Fictitious character)'
 'Latin language materials' 'Romans, nouvelles, etc. pour la jeunesse'
 'Poudlard, école de sorcellerie (Organisation imaginaire)' 'Sorciers'
 'Sorcières' 'Magie' 'Internats' 'Adventure and adventurers, fiction'
 'Action & Adventure' 'Fantasy & Magic' 'Social Themes' 'Friendship'
 'Harry Potter (Fictional character)' 'Friendship, fiction'
 'German language materials' 'Witchcraft, fiction' 'Wizard'
 'NOVELAS FANTÁSTICAS' 'NOVELAS JUVENILES INGLESAS'
 'LITERATURA JUVENIL ESTADOUNIDENSE' 'Écoles' 'Hechicería'
 'Novela juvenil' 'Ingleterra' 'Mystery' 'roman'
 'English Fantasy literature' 'Translations into Marathi']",,0.46441281138790036,137.0
/works/OL262758W,J.R.R. Tolkien,The Hobbit,2036,159,516,4.26685393258427,356,12,15,29,110,190,"['Arkenstone' 'Battle of Five Armies' 'invisibility' 'thrushes' 'eagles'
 'hobbits' 'wizards' 'dragons' 'dwarves' 'elves' 'men' 'trolls' 'goblins'
 'giant spiders' 'the one ring' 'juvenile fantasy' 'YOUNG ADULT FICTION'
 'Fantasy fiction' 'Juvenile fiction' 'Fiction' 'Fantasy' 'Classics'
 'General' 'Media Tie-In' ""children's books"" 'juvenile works'
 'Teen & Young Adult literature' 'English Fantasy fiction' 'Specimens'
 'Juvenile Fantasy fiction' 'Toy and movable books' 'Magic in fiction'
 'Open Library Staff Picks' 'juvenile literature' 'Pictorial works'
 'Magic' 'Quests (Expeditions)' 'Graphic novels' 'Dragons in fiction'
 ""Children's stories"" 'Ficción fantástica inglesa' 'Fantasy in fiction'
 'Translations into Russian' 'Ficción' 'Middle Earth (Imaginary place)'
 'Tierra Media (Lugar imaginario)' 'Bilbo Baggins (Fictitious character)'
 'Dwarfs' 'Comic books, strips' 'Reading Level-Grade 11'
 'Reading Level-Grade 12'
 'British and irish fiction (fictional works by one author)'
 'Fiction, fantasy, general' 'Middle earth (imaginary place), fiction'
 'Comics & graphic novels, fantasy' 'Science fiction, fantasy, horror'
 'Child and youth fiction' 'Gollum (Fictitious character)'
 'Hobbits (Fictitious characters)'
 'Baggins, bilbo (fictitious character), fiction' ""Children's fiction""
 'Gandalf (fictitious character), fiction'
 'Baggins, frodo (fictitious character), fiction' 'Characters'
 'Characters and characteristics'
 'Hobbit, an unexpected journey (Motion picture)'
 'Hobbit (Tolkien, J.R.R.)' 'YOUNG ADULT FICTION / Classics'
 'YOUNG ADULT FICTION / Fantasy / General'
 'YOUNG ADULT FICTION / Media Tie-In' 'Motion pictures'
 'Fiction, fantasy, epic' 'English literature' 'Fiction, media tie-in'
 'Large type books' 'Courage' 'Literatura angielska dla młodzieży'
 'Tłumaczenia polskie' 'Novela Inglesa' 'Spanish language materials'
 'Untranslated' 'Terre du Milieu (Lieu imaginaire)' 'Romans, nouvelles'
 'Hobbits (Personnages fictifs)' 'Novela fantástica' 'Magiciens'
 'Schultheater']",,0.37640449438202245,226.0
/works/OL5720023W,Stephenie Meyer,Twilight,2412,173,369,3.6666666666666665,264,41,27,36,35,125,"['New York Times bestseller' 'nyt:series_books=2008-03-15'
 'School & Education' 'Vampires' 'Juvenile Fiction' 'Fiction'
 ""Children's Books - Young Adult Fiction""
 'Science Fiction, Fantasy, & Magic' 'Children: Young Adult (Gr. 10-12)'
 'Schools' 'Love & Romance' 'Horror & Ghost Stories'
 'Juvenile Fiction / Horror & Ghost Stories' 'High schools'
 ""Children's 12-Up - Fiction - Horror"" 'High school students'
 'First loves' 'Vampires, fiction' 'Schools, fiction'
 'Washington (state), fiction' ""Children's fiction"" 'Love, fiction'
 'cheese' 'Graphic novels' 'Adaptations' 'Large type books' 'Vampiros'
 'Ficción juvenil' 'Escuelas secundarias' 'Escuelas'
 'nyt:hardcover-graphic-books=2010-04-04'
 'Edward Cullen (Fictitious character)' 'Comic books, strips'
 'Bella Swan (Fictitious character)' 'Twilight (Meyer, Stephenie)'
 'Motion pictures, juvenile literature' 'Motion pictures'
 'Chinese language' 'Chang pian xiao shuo' 'Simplified characters'
 'Russian language materials' 'Interpersonal attraction'
 'Upside-down books' 'Teenagers' 'Comics & graphic novels, romance'
 'Comics & graphic novels, fantasy' 'Translations into Chinese'
 'Werewolves' 'American fiction' 'Yan qing xiao shuo'
 'Interpersonal relations, fiction' 'Youth, fiction' 'High school'
 'Junge Frau' 'Vampir' 'Verlieben' 'School stories' 'Reading materials'
 ""Children's books"" 'Spanish language' 'Novela juvenil'
 'Spanish language materials' 'Translations from English'
 'Portuguese fiction' 'Novela estadounidense' 'Novela'
 'Interpersonal relations' 'Polish language materials'
 'Romans, nouvelles, etc. pour la jeunesse' 'Écoles' 'Love'
 'Young adult fiction' 'Persistence' 'Friendship' 'Romans, nouvelles'
 'Élèves du secondaire' 'Écoles secondaires' 'Premier amour' 'Amour'
 'Roman pour jeunes adultes' 'Persévérance' 'Amitié'
 'Paranormal, Occult & Supernatural. . .' 'Romance' 'Paranormal'
 'Social Themes' 'Dating & Sex' 'Außenseiterin' 'Gefahr' 'Tochter'
 'Weibliche Jugend' 'Wohnungswechsel' 'Supernatural fiction' 'Mishnah']",,0.07954545454545454,643.0
/works/OL82536W,J. K. Rowling,Harry Potter and the Prisoner of Azkaban,2106,144,640,4.30478589420655,397,12,5,53,107,220,"['Fantasy fiction' 'orphans' 'foster homes' 'fantasy' 'literature'
 'juvenile fantasy fiction' 'Locus Award winner'
 'Bram Stoker Award winner' 'Whitbread Book Award winner' 'Adventure'
 'Juvenile literature' 'Juvenile works' 'Juvenile audience'
 ""Children's books"" 'Magic' 'Open Library Staff Picks' 'Juvenile fiction'
 'Wizards' 'New York Times bestseller' 'Schools'
 'nyt:series_books=2006-09-16' 'Science Fiction, Fantasy, & Magic'
 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)' 'Witches'
 'Harry Potter (Fictitious character)' 'Ficción juvenil' 'Magos' 'Magia'
 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)'
 ""Children's Books/Ages 9-12 Fiction"" 'Spanish: Grades 4-7' 'General'
 'Potter, Harry (Fictitious character)'
 'Potter, Harry (Caracter ficticio)'
 'Hogwarts School of Witchcraft and Wizardry (Lugar imaginario)'
 'Escuelas' 'Spanish language' 'Literatura juvenil'
 'Harry Potter (Fictional character)' 'Orphans & Foster Homes'
 'Fantasy & Magic' 'French language materials' 'School stories' 'Family'
 'Fiction' 'Social Themes' 'Friendship' 'Reading Level-Grade 9'
 'Reading Level-Grade 11' 'Reading Level-Grade 10'
 'Reading Level-Grade 12' 'Translations from English'
 'Chinese language materials' 'England' 'Chinese fiction' 'Tong hua'
 'England, fiction' 'Potter, harry (fictitious character), fiction'
 'Schools, fiction' ""Children's fiction"" 'Wizards, fiction'
 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction'
 'Magic, fiction' 'Fiction, fantasy, general' 'Magie' 'Magiciens'
 'Schulferien' 'Deutschland' 'Verrat' 'Freundschaft'
 'Romans, nouvelles, etc. pour la jeunesse' 'Junge' 'Good and evil'
 'Jugendgruppe' 'Fabeltiere' 'Lüge' 'Rache' 'Boarding schools'
 'Deutschland Grenzschutzkommando Mitte Schule'
 'Potter, Harry (Personnage fictif)' 'English literature'
 'Bengali Detective and mystery stories'
 'Hermione Granger (Fictitious character)'
 'Ron Weasley (Fictitious character)' 'Large type books' 'Juvenile films'
 'Películas cinematográficas juveniles' 'Hechiceros'
 'Potter, Harry (Personaje literario)' 'Children stories' 'Novela juvenil'
 'Reading materials' 'Adventure and adventurers, fiction'
 'Friendship, fiction' 'Witches, fiction' 'English Fantasy literature'
 'Translations into Marathi']","Harry Potter #3

For Harry Potter, it’s the start of another far-from-ordinary year at Hogwarts when the Knight Bus crashes through the darkness and comes to an abrupt halt in front of him.

It turns out that Sirius Black, mass-murderer and follower of Lord Voldemort, has escaped – and they say he is coming after Harry.

In his first Divination class, Professor Trelawney sees an omen of death in Harry’s tea leaves.

And perhaps most frightening of all are the Dementors patrolling the school grounds with their soul-sucking kiss – in search of fresh victims.

([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-prisoner-azkaban/",0.3778337531486146,223.0
/works/OL81613W,Stephen King,It,5424,337,406,4.1506849315068495,365,24,9,51,85,196,"['coming of age' 'thrillers' 'suspense' 'horror' 'Schwinn bicycles'
 'catatonia' 'homosexuality' 'blood oaths' 'Omniscience' 'mummies'
 'lepers' 'ghosts' 'we' 'clownrewolves' 'nonlinear narrative'
 'third-person' 'Open Library Staff Picks' 'Fiction' 'Good and evil'
 'horror stories' 'horror tales' 'Horror fiction' 'Reading Level-Grade 9'
 'Reading Level-Grade 11' 'Reading Level-Grade 10'
 'Reading Level-Grade 12' 'nyt:trade-fiction-paperback=2017-09-03'
 'New York Times bestseller' 'New York Times reviewed' 'Fiction, horror']",,0.30684931506849317,302.0
/works/OL45790W,Roald Dahl,Charlie and the Chocolate Factory,1425,113,252,4.005291005291006,189,14,8,30,48,89,"['Childrens Media Tie-In Books'
 ""Children's Middle Grade Action & Adventure Books""
 ""Children's Picture Books"" 'Avarice' 'Behavior' 'Chocolat' 'Chocolate'
 'Chocolate factories' 'Conducta' 'Conduct of life' 'Cuentos humorísticos'
 'Eccentrics and eccentricities' 'Factories' 'Fantasy' 'Ficción juvenil'
 'Fiction' 'Grandparent and child' 'Human behavior' 'Humorous fiction'
 'Humorous stories' 'Humourous stories' 'Juvenile fiction'
 'Juvenile Literature' 'Juvenile works' 'Literatura juvenil' 'Romans'
 'Spanish language materials' 'Wonka Bars' 'Young Adult Fiction'
 'Willy Wonka (Fictitious character)'
 'Charlie Bucket (Fictitious character)' ""Children's fiction""
 'Behavior, fiction' 'Fiction, fantasy, general'
 'Literature and fiction, juvenile'
 'Romans, nouvelles, etc. pour la jeunesse' 'Morale pratique' 'Industrie'
 'Behavior -- Fiction' 'Chocolate industry' 'Candy industry'
 'Accelerated Reader' 'Plays' ""Children's plays""
 'Literatura angielska dla młodzieży' 'Tłumaczenia polskie' 'In library'
 'Accessible book' 'OverDrive' 'Open Library Staff Picks'
 'Protected DAISY' 'Récits humoristiques' 'Fantasy fiction' 'Candy']",,0.19576719576719576,447.0
/works/OL8483260W,Jeff Kinney,Diary of a Wimpy Kid,2609,202,282,4.208888888888889,225,16,8,26,38,137,"['School stories' 'Families' 'Diaries' 'Middle schools' 'Family life'
 'Fiction' ""Children's stories"" 'Schools' 'Friendship' 'Juvenile fiction'
 'Comics & Graphic Novels' 'Socialization' 'Interpersonal Relations'
 'Child' 'Humorous fiction' 'Friends' 'Family' 'Humorous Stories'
 ""Children's fiction"" 'Schools, fiction' 'Friendship, fiction'
 'Diaries, fiction' 'Humorous stories' 'Quakers'
 'Polish language materials' 'Materiał w Języku Polskim' 'Polish language']",,0.38666666666666666,212.0
/works/OL103123W,Ray Bradbury,Fahrenheit 451,1885,101,442,3.97682119205298,302,8,17,65,96,116,"['Mechanical Hound' 'girl next door' 'Long Now Manual for Civilization'
 'Terrorismo estatal' 'Censura' 'Novela' 'Totalitarismo' 'science fiction'
 'political fiction' 'satire' 'Zukunft' 'State-sponsored terrorism'
 'Totalitarianism' 'Book burning' 'Censorship' 'Fiction'
 'American Science fiction' 'Fictional Works' 'Terrorism'
 'Reading Level-Grade 7' 'Reading Level-Grade 9' 'Reading Level-Grade 8'
 'Reading Level-Grade 11' 'Reading Level-Grade 10'
 'Reading Level-Grade 12' 'Fiction, dystopian'
 'Fiction, science fiction, general' 'Fiction, political' 'Drama'
 'Large type books' 'American literature' 'award:retro_hugo' 'Terrorismo'
 'Totalitarianisms' 'Bücherverbrennung' ""Terrorisme d'État""
 'Romans, nouvelles' 'Totalitarisme' 'Autodafé de livres']","Fahrenheit 451 is a 1953 dystopian novel by American writer Ray Bradbury. Often regarded as one of his best works, the novel presents a future American society where books are outlawed and ""firemen"" burn any that are found. The book's tagline explains the title as ""'the temperature at which book paper catches fire, and burns"": the autoignition temperature of paper. The lead character, Guy Montag, is a fireman who becomes disillusioned with his role of censoring literature and destroying knowledge, eventually quitting his job and committing himself to the preservation of literary and cultural writings.

The novel has been the subject of interpretations focusing on the historical role of book burning in suppressing dissenting ideas for change. In a 1956 radio interview, Bradbury said that he wrote Fahrenheit 451 because of his concerns at the time (during the McCarthy era) about the threat of book burning in the United States. In later years, he described the book as a commentary on how mass media reduces interest in reading literature.

In 1954, Fahrenheit 451 won the American Academy of Arts and Letters Award in Literature and the Commonwealth Club of California Gold Medal. It later won the Prometheus ""Hall of Fame"" Award in 1984 and a ""Retro"" Hugo Award, one of a limited number of Best Novel Retro Hugos ever given, in 2004. Bradbury was honored with a Spoken Word Grammy nomination for his 1976 audiobook version.


----------
Also contained in:

 - [451° по Фаренгейту: Рассказы](https://openlibrary.org/works/OL17811384W/Fahrenheit_451_stories)
 - [451° по Фаренгейту: повести и рассказы](https://openlibrary.org/works/OL27741633W)
 - [Works](https://openlibrary.org/works/OL28185143W)",0.08609271523178808,635.0
/works/OL14933414W,J.R.R. Tolkien,The Fellowship of the Ring,902,63,363,4.344444444444444,270,3,6,30,87,144,"['Elves' 'Dwarves' 'evil' 'fear' 'friends' 'hope' 'young adult fiction'
 'Ficción' 'Ficción fantástica inglesa' 'Fantastic fiction'
 'The Lord of the Rings' 'English Fantasy fiction'
 'Open Library Staff Picks' 'Fiction' 'Fantasy' 'Fairy tales'
 'Adventure stories' 'Fantasy fiction' 'Middle Earth (Imaginary place)'
 'History and criticism' 'FICTION / Fantasy / Epic' 'Adventure fiction'
 'English fiction' 'Translations in Chinese' 'Fiction, fantasy, epic'
 'Middle earth (imaginary place), fiction'
 'Baggins, frodo (fictitious character), fiction'
 'Gandalf (fictitious character), fiction'
 'British and irish fiction (fictional works by one author)'
 'Baggins, bilbo (fictitious character), fiction' 'Fiction, media tie-in'
 ""Children's fiction"" 'English literature' 'Large type books'
 'Fiction in English' 'Roman' 'Français (langue)'
 'Lectures et morceaux choisis' 'Vol. 1.'
 'Lord of the rings (Tolkien, J.R.R.)' 'Gandolf (Fictitious character)'
 'Terre du Milieu (Lieu imaginaire)' 'Romans, nouvelles'
 'Frodo Baggins (Fictitious character)' 'Fiction, fantasy, general']","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

“A unique, wholly realized other world, evoked from deep in the well of Time, massively detailed, absorbingly entertaining, profound in meaning.”—The New York Times

In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.",0.3888888888888889,207.5
/works/OL527464W,Napoleon Hill,Think and grow rich,5600,477,200,4.128,250,23,10,26,44,147,"['Business' 'Exito en los negocios' 'Finance' 'Management' 'New Age'
 'Nonfiction' 'Self-Improvement' 'Study Aids & Workbooks' 'Success'
 'Success in business' 'Wealth' 'Éxito' 'Carnegie, andrew, 1835-1919'
 'Success in businness' 'Commerce' 'Government business enterprises'
 'Government executives' 'Salaries' 'Self-help techniques' 'New thought'
 'Personal Finance' 'SELF-HELP / Personal Growth / Success'
 'Succès dans les affaires']","THE WORKBOOK UNLOCKS THE SECRETS HIDDEN BETWEEN THE LINES 
Napoleon Hill was quoted as saying, “You can’t really get Think and Grow Rich by reading it just once. There is just as much written between the lines as there is written in the lines themselves.” Now Think and Grow Rich: The 21st-Century Edition Workbook will show you how to get the most out of Hill’s classic success book the very first time you read it. This workbook is designed to guide you through Think and Grow Rich and explain it so clearly that when you come to the last page you will know the book better than most devoted students who have read it many times over. 
KEYED TO THE FORMAT OF THE BOOK 
Following the format of Think and Grow Rich, this work- book breaks down each of Napoleon Hill’s principles, fills in the background, takes you step-by-step through his arguments, and explains how and why Hill arrived at his theories. In addition to a detailed overview of Think and Grow Rich, this workbook also features: chapter outlines, updated examples, new research breakdowns and summaries of all key concepts action guides and self-tests 
YOUR OWN PRIVATE TUTOR 
It’s like having your own personal instructor leading you through the book, explaining how to read each chapter so that you see clearly, learn quickly, and understand completely. The result is an extremely practical program created specifically to make Think and Grow Rich the most important book you have ever read.",0.352,256.0
